label,instrument,side,qty,cycle,entry_tick,entry_index,entry_price,exit_tick,exit_index,exit_price,exit_reason,gross_pnl,transaction_cost,net_pnl
22600CE,22600CE,SELL,1,0,09:20:00,5,28.9,15:29:00,374,0.05,EOD_FORCE,28.849999999999998,0.014475000000000002,28.835524999999997
22600PE,22600PE,SELL,1,0,09:20:00,5,32.05,15:29:00,374,47.6,EOD_FORCE,-15.550000000000004,0.039825,-15.589825000000005
22300CE,22300CE,SELL,1,0,09:20:00,5,203.0,15:29:00,374,88.65,EOD_FORCE,114.35,0.145825,114.20417499999999
22300PE,22300PE,SELL,1,0,09:20:00,5,103.3,15:29:00,374,207.55,EOD_FORCE,-104.25000000000001,0.155425,-104.40542500000001
22250CE,22250CE,SELL,1,0,09:20:00,5,135.1,15:29:00,373,72.95,EOD_FORCE,62.14999999999999,0.104025,62.04597499999999
22250PE,22250PE,SELL,1,0,09:20:00,5,122.6,15:29:00,373,159.0,EOD_FORCE,-36.400000000000006,0.1408,-36.540800000000004
22000CE,22000CE,SELL,1,0,09:20:00,5,112.0,15:29:00,374,144.8,EOD_FORCE,-32.80000000000001,0.12840000000000001,-32.92840000000001
22000PE,22000PE,SELL,1,0,09:20:00,5,94.7,15:29:00,374,66.45,EOD_FORCE,28.25,0.08057500000000001,28.169425
22150CE,22150CE,SELL,1,0,09:20:00,5,67.65,15:29:00,374,216.65,EOD_FORCE,-149.0,0.14215000000000003,-149.14215
22150PE,22150PE,SELL,1,0,09:20:00,5,96.6,15:29:00,374,23.85,EOD_FORCE,72.75,0.060225,72.689775
22400CE,22400CE,SELL,1,0,09:20:00,5,55.1,09:49:00,34,15.05,SL,40.05,0.03507500000000001,40.014925
22400PE,22400PE,SELL,1,0,09:20:00,5,51.2,09:49:00,34,180.0,SL,-128.8,0.11560000000000001,-128.9156
22550CE,22550CE,SELL,1,0,09:20:00,5,155.6,15:29:00,374,150.1,EOD_FORCE,5.5,0.15285,5.34715
22550PE,22550PE,SELL,1,0,09:20:00,5,154.7,15:29:00,374,122.25,EOD_FORCE,32.44999999999999,0.138475,32.31152499999999
22600CE,22600CE,SELL,1,0,09:20:00,5,115.4,15:29:00,374,54.85,EOD_FORCE,60.550000000000004,0.085125,60.464875000000006
22600PE,22600PE,SELL,1,0,09:20:00,5,155.0,15:29:00,374,205.0,EOD_FORCE,-50.0,0.18,-50.18
22350CE,22350CE,SELL,1,0,09:20:00,5,101.4,15:29:00,374,222.8,EOD_FORCE,-121.4,0.1621,-121.5621
22350PE,22350PE,SELL,1,0,09:20:00,5,135.1,15:29:00,374,43.0,EOD_FORCE,92.1,0.08904999999999999,92.01095
22500CE,22500CE,SELL,1,0,09:20:00,5,97.6,15:29:00,374,52.3,EOD_FORCE,45.3,0.07495,45.225049999999996
22500PE,22500PE,SELL,1,0,09:20:00,5,94.4,15:29:00,374,79.8,EOD_FORCE,14.600000000000009,0.08710000000000001,14.512900000000009
22500CE,22500CE,SELL,1,0,09:20:00,5,31.75,15:29:00,374,0.05,EOD_FORCE,31.7,0.0159,31.6841
22500PE,22500PE,SELL,1,0,09:20:00,5,65.2,15:29:00,374,101.1,EOD_FORCE,-35.89999999999999,0.08315,-35.983149999999995
22500CE,22500CE,SELL,1,0,09:20:00,5,152.95,15:29:00,374,136.15,EOD_FORCE,16.799999999999983,0.14455,16.655449999999984
22500PE,22500PE,SELL,1,0,09:20:00,5,97.9,15:29:00,374,92.3,EOD_FORCE,5.6000000000000085,0.09510000000000002,5.504900000000008
22600CE,22600CE,SELL,1,0,09:20:00,5,130.0,15:29:00,374,288.65,EOD_FORCE,-158.64999999999998,0.20932499999999998,-158.85932499999998
22600PE,22600PE,SELL,1,0,09:20:00,5,95.95,15:29:00,374,24.5,EOD_FORCE,71.45,0.060225,71.389775
22850CE,22850CE,SELL,1,0,09:20:00,5,108.85,15:29:00,374,129.0,EOD_FORCE,-20.150000000000006,0.118925,-20.268925000000007
22850PE,22850PE,SELL,1,0,09:20:00,5,74.75,15:29:00,374,45.35,EOD_FORCE,29.4,0.060050000000000006,29.339949999999998
23000CE,23000CE,SELL,1,0,09:20:00,5,54.8,13:23:00,248,190.4,SL,-135.60000000000002,0.12260000000000001,-135.72260000000003
23000PE,23000PE,SELL,1,0,09:20:00,5,50.15,13:23:00,248,5.65,SL,44.5,0.027900000000000005,44.4721
23200CE,23200CE,SELL,1,0,09:20:00,5,137.55,15:29:00,374,237.7,EOD_FORCE,-100.14999999999998,0.18762500000000001,-100.33762499999997
23200PE,23200PE,SELL,1,0,09:20:00,5,135.7,15:29:00,374,58.05,EOD_FORCE,77.64999999999999,0.096875,77.553125
23500CE,23500CE,SELL,1,0,09:20:00,5,132.2,15:29:00,374,273.35,EOD_FORCE,-141.15000000000003,0.202775,-141.35277500000004
23500PE,23500PE,SELL,1,0,09:20:00,5,113.85,15:29:00,374,56.25,EOD_FORCE,57.599999999999994,0.08505,57.51494999999999
23700CE,23700CE,SELL,1,0,09:20:00,5,162.2,15:29:00,374,93.1,EOD_FORCE,69.1,0.12764999999999999,68.97234999999999
23700PE,23700PE,SELL,1,0,09:20:00,5,135.55,15:29:00,374,124.45,EOD_FORCE,11.100000000000009,0.13,10.970000000000008
23700CE,23700CE,SELL,1,0,09:20:00,5,125.55,15:29:00,374,19.7,EOD_FORCE,105.85,0.072625,105.77737499999999
23700PE,23700PE,SELL,1,0,09:20:00,5,84.55,15:29:00,374,192.95,EOD_FORCE,-108.39999999999999,0.13875,-108.53875
23500CE,23500CE,SELL,1,0,09:20:00,5,88.65,15:29:00,374,91.5,EOD_FORCE,-2.8499999999999943,0.090075,-2.9400749999999944
23500PE,23500PE,SELL,1,0,09:20:00,5,62.85,15:29:00,374,0.05,EOD_FORCE,62.800000000000004,0.03145,62.768550000000005
23600CE,23600CE,SELL,1,0,09:20:00,5,184.3,15:29:00,374,88.8,EOD_FORCE,95.50000000000001,0.13655,95.36345000000001
23600PE,23600PE,SELL,1,0,09:20:00,5,134.3,15:29:00,374,146.7,EOD_FORCE,-12.399999999999977,0.1405,-12.540499999999977
